episode,steps,result,boss_hp_remaining,boss_hp_ratio,phase_reached,avg_reward_all,reward_dealer,reward_tank,reward_healer,reward_support,damage_tank,damage_healer,damage_support,heal_done_healer,buffs_support,mechanic_success,mechanic_fail,stagger_success,stagger_fail,elapsed_sec
165,40,WIPE,4155,0.831,0,-214.83,-94.67,-209.12,-215.4,-219.97,10,0,0,0,1,0,0,0,0,13.9
166,44,WIPE,4520,0.904,0,-211.407,-148.47,-196.57,-217.08,-220.57,10,0,0,0,1,0,0,0,0,14.1
167,17,TIMEOUT,4925,0.985,0,-48.567,-62.97,-43.67,-48.81,-53.22,0,10,0,0,3,0,0,0,0,14.1
168,25,TIMEOUT,4535,0.907,0,-62.687,0.48,-45.87,-69.17,-73.02,0,0,0,0,0,0,0,0,0,14.2
169,7,TIMEOUT,5000,1.0,0,-56.627,-71.87,-48.17,-72.59,-49.12,0,0,0,0,2,0,0,0,0,14.3
170,15,TIMEOUT,5000,1.0,0,-51.837,-71.42,-54.22,-46.67,-54.62,0,0,0,40,3,0,0,0,0,14.3
171,24,TIMEOUT,4535,0.907,0,-57.79,-1.57,-43.12,-60.03,-70.22,0,0,0,80,4,0,0,0,0,14.3
172,50,WIPE,4060,0.812,0,-216.29,-83.92,-215.72,-215.83,-217.32,25,0,15,0,3,0,0,0,0,14.5
173,18,TIMEOUT,5000,1.0,0,-50.477,-70.57,-61.22,-40.49,-49.72,0,0,0,75,3,0,0,0,0,14.6
174,15,TIMEOUT,4920,0.984,0,-44.987,-61.22,-39.87,-45.17,-49.92,0,0,15,40,1,0,0,0,0,14.6
175,11,TIMEOUT,5000,1.0,0,-51.893,-71.72,-52.92,-48.24,-54.52,0,0,0,40,1,0,0,0,0,14.6
176,12,TIMEOUT,4905,0.981,0,-49.367,-57.02,-45.22,-52.31,-50.57,0,0,0,0,0,0,0,0,0,14.6
177,14,TIMEOUT,4770,0.954,0,-51.057,-42.77,-44.97,-63.18,-45.02,0,10,35,40,0,0,0,0,0,14.7
178,29,TIMEOUT,4455,0.891,0,-59.157,8.68,-68.47,-60.23,-48.77,0,5,15,80,0,0,0,0,0,14.7
179,20,TIMEOUT,4630,0.926,0,-44.15,-23.72,-42.97,-49.66,-39.82,10,0,50,0,3,0,0,0,0,14.8
180,38,TIMEOUT,4490,0.898,0,-49.323,0.48,-19.92,-64.08,-63.97,10,0,35,40,4,0,0,0,0,14.9
181,33,TIMEOUT,4285,0.857,0,-61.95,36.63,-61.27,-68.76,-55.82,0,0,0,0,1,0,0,0,0,15.0
182,35,TIMEOUT,4460,0.892,0,-50.833,8.98,-65.27,-32.71,-54.52,10,0,0,125,0,0,0,0,0,15.1
183,24,TIMEOUT,4705,0.941,0,-50.6,-29.57,-58.27,-42.61,-50.92,10,5,0,40,1,0,0,0,0,15.2
184,29,TIMEOUT,4590,0.918,0,-55.3,-15.37,-51.22,-68.36,-46.32,0,0,35,0,2,0,0,0,0,15.3
185,39,TIMEOUT,4415,0.883,0,-51.557,13.33,-46.82,-56.18,-51.67,20,10,0,80,2,0,0,0,0,15.4
186,21,TIMEOUT,5000,1.0,0,-54.143,-70.17,-45.37,-67.04,-50.02,0,0,0,40,1,0,0,0,0,15.4
187,22,TIMEOUT,4985,0.997,0,-59.993,-71.67,-58.92,-70.99,-50.07,0,0,15,0,1,0,0,0,0,15.5
188,34,WIPE,4280,0.856,0,-214.697,-127.37,-215.52,-215.95,-212.62,35,15,50,0,3,0,0,0,0,15.6
189,10,TIMEOUT,4965,0.993,0,-54.087,-71.17,-46.27,-70.82,-45.17,0,5,30,0,0,0,0,0,0,15.7
190,14,TIMEOUT,5000,1.0,0,-46.767,-70.87,-43.52,-45.16,-51.62,0,0,0,40,1,0,0,0,0,15.7
191,35,TIMEOUT,4535,0.907,0,-58.567,1.28,-57.12,-67.76,-50.82,0,0,0,0,2,0,0,0,0,15.8
192,38,WIPE,4555,0.911,0,-216.723,-153.77,-213.72,-215.13,-221.32,10,0,0,40,1,0,0,0,0,15.9
193,45,TIMEOUT,4145,0.829,0,-52.34,56.53,-44.62,-54.23,-58.17,20,0,0,0,0,0,0,0,0,16.1
194,27,TIMEOUT,4980,0.996,0,-48.743,-69.67,-39.77,-51.29,-55.17,20,0,0,0,2,0,0,0,0,16.1
195,19,TIMEOUT,4950,0.99,0,-48.99,-69.87,-35.97,-63.78,-47.22,0,5,45,40,1,0,0,0,0,16.2
